名詞	MEISHI
固有名詞	KOYUUMEISHI
代名詞	DAIMEISHI
助動詞	JODOUSHI
数	KAZU
助詞	JOSHI
接頭詞	SETTOUSHI
動詞	DOUSHI
記号	KIGOU
フィラー	FIRAA
その他	SONOTA
感動詞	KANDOUSHI
連体詞	RENTAISHI
接続詞	SETSUZOKUSHI
副詞	FUKUSHI
接続助詞	SETSUZOKUJOSHI
形容詞	KEIYOUSHI

非自立	HIJIRITSU
副詞可能	FUKUSHIKANOU
サ変接続	SAHENSETSUZOKU
形容動詞語幹	KEIYOUDOUSHIGOKAN
ナイ形容詞語幹	NAIKEIYOUSHIGOKAN
助動詞語幹	JODOUSHIGOKAN
副詞化	FUKUSHIKA
体言接続	TAIGENSETSUZOKU
連体化	RENTAIKA
特殊	TOKUSHU
接尾	SETSUBI
接続詞的	SETSUZOKUSHITEKI
動詞非自立的	DOUSHIHIJIRITSUTEKI
サ変・スル	SAHEN_SURU
特殊・タ	TOKUSHU_TA
特殊・ナイ	TOKUSHU_NAI
特殊・タイ	TOKUSHU_TAI
特殊・デス	TOKUSHU_DESU
特殊・ダ	TOKUSHU_DA
特殊・マス	TOKUSHU_MASU
特殊・ヌ	TOKUSHU_NU
不変化型	FUHENKAGATA
人名	JINMEI
命令ｉ	MEIREI_I
係助詞	KAKARIJOSHI
